title,description,requirements,salary,currency,location_country,location_city,job_type,tor_file,posted_by_user_id,employer_id,expiry_date,status,created_at,updated_at
Project Coordinator,Coordinate internal resources and third parties/vendors.,Strong communication and analytical skills.,18488.24,LE,India,Cairo,Internship,,10,5,2025-12-02,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Project Coordinator,Coordinate internal resources and third parties/vendors.,Must be detail-oriented and organized.,17711.47,EURO,Canada,Mumbai,Full-Time,,6,6,2025-10-19,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Sales Representative,Responsible for developing and maintaining software solutions.,Must be detail-oriented and organized.,8543.5,LE,India,Berlin,Part-Time,,7,5,2025-10-01,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Project Coordinator,Manage marketing campaigns and oversee brand strategy.,Bachelor's degree required. 2+ years experience.,18608.31,USD,Egypt,New York,Part-Time,,4,9,2025-09-25,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Software Engineer,Responsible for developing and maintaining software solutions.,Must be detail-oriented and organized.,18591.36,EURO,Canada,New York,Contract,,10,3,2025-10-28,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Sales Representative,Responsible for developing and maintaining software solutions.,Strong communication and analytical skills.,12365.94,EURO,India,Mumbai,Contract,,10,3,2025-12-22,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Data Analyst,Identify and contact potential clients to generate sales.,Proficient in Microsoft Office and CRM tools.,19747.96,LE,Egypt,Toronto,Full-Time,,5,1,2025-08-16,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Project Coordinator,Coordinate internal resources and third parties/vendors.,Proficient in Microsoft Office and CRM tools.,17758.02,LE,Egypt,Toronto,Contract,,10,3,2025-12-21,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Marketing Manager,Identify and contact potential clients to generate sales.,Ability to work independently and in a team.,11191.61,LE,USA,Berlin,Internship,,5,9,2025-11-09,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Sales Representative,Manage marketing campaigns and oversee brand strategy.,Strong communication and analytical skills.,13118.4,LE,USA,Berlin,Internship,,4,1,2025-12-15,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Software Engineer,Coordinate internal resources and third parties/vendors.,Strong communication and analytical skills.,19279.13,USD,Germany,Mumbai,Full-Time,,7,9,2025-09-20,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Sales Representative,Identify and contact potential clients to generate sales.,Proficient in Microsoft Office and CRM tools.,13195.11,USD,India,Berlin,Internship,,2,3,2025-10-25,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Marketing Manager,Coordinate internal resources and third parties/vendors.,Proficient in Microsoft Office and CRM tools.,8149.04,LE,USA,New York,Full-Time,,10,8,2025-08-18,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Software Engineer,Coordinate internal resources and third parties/vendors.,Ability to work independently and in a team.,17995.37,USD,India,Cairo,Internship,,10,9,2025-10-28,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Sales Representative,Coordinate internal resources and third parties/vendors.,Must be detail-oriented and organized.,5898.09,LE,USA,Toronto,Internship,,9,8,2025-11-03,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Software Engineer,Coordinate internal resources and third parties/vendors.,Strong communication and analytical skills.,19891.91,LE,Egypt,Toronto,Part-Time,,9,2,2025-11-29,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Marketing Manager,Identify and contact potential clients to generate sales.,Must be detail-oriented and organized.,15698.09,LE,Canada,Cairo,Part-Time,,7,5,2025-09-08,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Data Analyst,Coordinate internal resources and third parties/vendors.,Must be detail-oriented and organized.,13176.56,USD,Germany,Toronto,Part-Time,,7,5,2025-09-13,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Marketing Manager,Identify and contact potential clients to generate sales.,Proficient in Microsoft Office and CRM tools.,19491.37,USD,Germany,Mumbai,Contract,,4,5,2025-10-19,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Software Engineer,Identify and contact potential clients to generate sales.,Bachelor's degree required. 2+ years experience.,16041.29,USD,Egypt,Mumbai,Internship,,3,9,2025-12-14,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Marketing Manager,Identify and contact potential clients to generate sales.,Must be detail-oriented and organized.,17069.3,LE,USA,New York,Internship,,5,10,2025-09-03,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Data Analyst,Manage marketing campaigns and oversee brand strategy.,Must be detail-oriented and organized.,6229.29,USD,India,New York,Part-Time,,6,2,2026-01-05,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Project Coordinator,Responsible for developing and maintaining software solutions.,Must be detail-oriented and organized.,10780.67,USD,Egypt,New York,Full-Time,,5,1,2025-11-04,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Software Engineer,Analyze and interpret data to support business decisions.,Strong communication and analytical skills.,11934.84,USD,USA,New York,Full-Time,,5,10,2025-11-12,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Software Engineer,Responsible for developing and maintaining software solutions.,Must be detail-oriented and organized.,7965.33,USD,USA,Mumbai,Contract,,7,1,2025-10-21,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Software Engineer,Responsible for developing and maintaining software solutions.,Bachelor's degree required. 2+ years experience.,9954.32,EURO,India,Cairo,Internship,,10,1,2025-10-07,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Project Coordinator,Identify and contact potential clients to generate sales.,Strong communication and analytical skills.,8956.5,EURO,Germany,Cairo,Contract,,3,2,2025-09-22,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Data Analyst,Analyze and interpret data to support business decisions.,Ability to work independently and in a team.,6528.5,LE,Canada,New York,Internship,,2,7,2025-10-04,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Software Engineer,Responsible for developing and maintaining software solutions.,Proficient in Microsoft Office and CRM tools.,9342.81,LE,Canada,Toronto,Part-Time,,4,7,2025-09-02,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Sales Representative,Coordinate internal resources and third parties/vendors.,Proficient in Microsoft Office and CRM tools.,18425.37,LE,Germany,Berlin,Internship,,1,3,2025-12-05,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Data Analyst,Identify and contact potential clients to generate sales.,Must be detail-oriented and organized.,18687.87,EURO,USA,Cairo,Part-Time,,4,2,2025-08-24,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Sales Representative,Coordinate internal resources and third parties/vendors.,Bachelor's degree required. 2+ years experience.,13240.43,EURO,Canada,Toronto,Full-Time,,1,10,2025-11-11,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Software Engineer,Coordinate internal resources and third parties/vendors.,Proficient in Microsoft Office and CRM tools.,9888.57,EURO,India,Toronto,Full-Time,,8,2,2025-11-30,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Sales Representative,Manage marketing campaigns and oversee brand strategy.,Proficient in Microsoft Office and CRM tools.,13409.87,EURO,India,Toronto,Contract,,1,9,2025-10-21,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Sales Representative,Manage marketing campaigns and oversee brand strategy.,Strong communication and analytical skills.,12963.81,USD,Canada,Mumbai,Part-Time,,3,7,2025-09-06,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Sales Representative,Responsible for developing and maintaining software solutions.,Strong communication and analytical skills.,16465.32,USD,USA,Cairo,Full-Time,,5,1,2026-01-04,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Project Coordinator,Responsible for developing and maintaining software solutions.,Proficient in Microsoft Office and CRM tools.,10502.03,LE,Egypt,New York,Internship,,2,6,2025-10-08,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Project Coordinator,Manage marketing campaigns and oversee brand strategy.,Must be detail-oriented and organized.,11619.32,EURO,USA,Berlin,Contract,,9,6,2025-11-23,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Project Coordinator,Responsible for developing and maintaining software solutions.,Must be detail-oriented and organized.,11470.56,LE,India,Mumbai,Part-Time,,9,3,2025-12-12,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Data Analyst,Manage marketing campaigns and oversee brand strategy.,Proficient in Microsoft Office and CRM tools.,14786.98,LE,Canada,Toronto,Internship,,2,4,2025-11-23,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Data Analyst,Coordinate internal resources and third parties/vendors.,Strong communication and analytical skills.,7909.15,LE,USA,New York,Full-Time,,1,9,2025-08-31,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Sales Representative,Manage marketing campaigns and oversee brand strategy.,Strong communication and analytical skills.,10860.43,LE,Germany,Mumbai,Full-Time,,1,6,2026-01-03,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Software Engineer,Coordinate internal resources and third parties/vendors.,Must be detail-oriented and organized.,18179.52,LE,Canada,Berlin,Full-Time,,3,2,2025-09-19,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Marketing Manager,Responsible for developing and maintaining software solutions.,Strong communication and analytical skills.,7680.94,USD,Germany,Toronto,Part-Time,,7,5,2025-10-16,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Marketing Manager,Manage marketing campaigns and oversee brand strategy.,Strong communication and analytical skills.,15623.95,USD,Canada,Berlin,Full-Time,,9,7,2025-12-29,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Project Coordinator,Manage marketing campaigns and oversee brand strategy.,Ability to work independently and in a team.,9368.88,LE,Canada,Berlin,Contract,,2,10,2025-09-20,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Data Analyst,Responsible for developing and maintaining software solutions.,Strong communication and analytical skills.,8902.61,LE,USA,Berlin,Full-Time,,4,3,2025-08-27,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Data Analyst,Identify and contact potential clients to generate sales.,Must be detail-oriented and organized.,11315.41,USD,USA,Cairo,Contract,,9,3,2025-11-05,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Data Analyst,Responsible for developing and maintaining software solutions.,Strong communication and analytical skills.,11768.67,LE,USA,Toronto,Part-Time,,4,4,2025-11-15,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Marketing Manager,Identify and contact potential clients to generate sales.,Ability to work independently and in a team.,15380.46,EURO,Egypt,New York,Full-Time,,6,4,2025-08-21,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Marketing Manager,Analyze and interpret data to support business decisions.,Strong communication and analytical skills.,8585.78,LE,USA,Berlin,Part-Time,,3,4,2025-09-21,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Project Coordinator,Responsible for developing and maintaining software solutions.,Strong communication and analytical skills.,16712.79,LE,USA,Toronto,Internship,,2,5,2025-12-28,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Marketing Manager,Manage marketing campaigns and oversee brand strategy.,Strong communication and analytical skills.,13142.29,LE,Germany,Cairo,Contract,,4,7,2025-10-14,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Sales Representative,Analyze and interpret data to support business decisions.,Proficient in Microsoft Office and CRM tools.,10459.12,LE,Germany,Cairo,Full-Time,,5,5,2025-12-04,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Marketing Manager,Manage marketing campaigns and oversee brand strategy.,Bachelor's degree required. 2+ years experience.,5578.87,USD,Canada,Cairo,Full-Time,,10,9,2025-11-11,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Data Analyst,Analyze and interpret data to support business decisions.,Ability to work independently and in a team.,17769.25,EURO,Germany,Mumbai,Full-Time,,6,2,2025-12-25,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Sales Representative,Manage marketing campaigns and oversee brand strategy.,Ability to work independently and in a team.,13884.12,LE,Egypt,Cairo,Internship,,3,5,2025-11-03,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Sales Representative,Manage marketing campaigns and oversee brand strategy.,Proficient in Microsoft Office and CRM tools.,10182.59,EURO,Germany,New York,Internship,,1,7,2026-01-03,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Software Engineer,Manage marketing campaigns and oversee brand strategy.,Ability to work independently and in a team.,7514.07,USD,USA,Mumbai,Contract,,6,6,2025-12-18,active,2025-07-17 16:29:29,2025-07-17 16:29:29
Sales Representative,Coordinate internal resources and third parties/vendors.,Must be detail-oriented and organized.,8465.52,LE,Canada,Berlin,Internship,,9,3,2025-12-14,active,2025-07-17 16:29:29,2025-07-17 16:29:29
